HS_Code,Description,Exemption_List,Scope_Limitation
0802.91.90,"Pine nuts (other than Pignolia), fresh or dried, in shell",both,
0802.92.10,"Pignolia pine nuts, fresh or dried, shelled",both,
0802.92.90,"Pine nuts (other than Pignolia), fresh or dried, shelled",both,
0803.10.10,"Plantains, fresh",both,
0803.10.20,"Plantains, dried",both,
0803.90.00,"Bananas, fresh or dried",both,
0804.30.20,"Pineapples, fresh or dried, not reduced in size, in bulk",both,
0804.30.40,"Pineapples, fresh or dried, not reduced in size, in crates or other packages",both,
0804.30.60,"Pineapples, fresh or dried, reduced in size",both,
0804.40.00,"Avocados, fresh or dried",both,
0804.50.40,"Guavas, mangoes and mangosteens, fresh, if entered during the period September 1 through the following May 31, inclusive",both,
0804.50.60,"Guavas, mangoes and mangosteens, fresh, if entered during the period June 1 through August 31, inclusive",both,
0804.50.80,"Guavas, mangoes and mangosteens, dried",both,
0805.10.00,"Oranges, fresh or dried",both,
0805.50.30,"Tahitian limes, Persian limes and other limes of the Citrus latifolia variety, fresh or dried",both,
0805.50.40,"Limes of the Citrus aurantifolia variety, nesoi, fresh or dried",both,
0805.90.01,Etrogs,both,Ex
0807.20.00,"Papayas (papaws), fresh",both,
0808.40.20,"Quinces, fresh, if entered during the period from April 1 through June 30, inclusive",both,
0808.40.40,"Quinces, fresh, if entered during the period from July 1 through the following March 31, inclusive",both,
0810.50.00,"Kiwifruit, fresh",both,
0810.60.00,"Durians, fresh",both,
0810.90.27,"Other berries and tamarinds, fresh",both,
0810.90.46,"Fruit, nesoi, fresh",both,
0811.90.10,"Bananas and plantains, frozen, in water or containing added sweetening",both,
0811.90.25,"Cashew apples, mameyes colorados, sapodillas, soursops and sweetsops, frozen, in water or containing added sweetening",both,
0811.90.30,"Coconut meat, frozen, in water or containing added sweetening",both,
0811.90.40,"Papayas, frozen, in water or containing added sweetening",both,
0811.90.50,"Pineapples, frozen, in water or containing added sweetening",both,
0811.90.52,"Mangoes, frozen, whether or not previously steamed or boiled",both,
0811.90.80,"Tropical fruit, nesoi, frozen, whether or not previously steamed or boiled",both,Ex
0812.90.40,"Pineapples, provisionally preserved, but unsuitable in that state for immediate consumption",both,
0901.11.00,"Coffee, not roasted, not decaffeinated",both,
0901.12.00,"Coffee, not roasted, decaffeinated",both,
0901.21.00,"Coffee, roasted, not decaffeinated",both,
0901.22.00,"Coffee, roasted, decaffeinated",both,
0901.90.10,Coffee husks and skins,both,
0901.90.20,Coffee substitutes containing coffee,both,
0902.10.10,"Green tea in immediate packings of a content not exceeding 3 kg, flavored",both,
0902.10.90,"Green tea in immediate packings of a content not exceeding 3 kg, not flavored",both,
0902.20.10,"Green tea in immediate packings of a content exceeding 3 kg, flavored",both,
0902.20.90,"Green tea in immediate packings of a content exceeding 3 kg, not flavored",both,
0902.30.00,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",both,
0902.40.00,"Black tea (fermented) and partly fermented tea, other than in immediate packings of a content not exceeding 3 kg",both,
0903.00.00,Maté,both,
0904.11.00,"Pepper of the genus Piper, neither crushed nor ground",both,
0904.12.00,"Pepper of the genus Piper, crushed or ground",both,
0904.21.20,"Paprika, dried, neither crushed nor ground",both,
0904.21.40,"Anaheim and ancho pepper, dried, neither crushed nor ground",both,
0904.21.60,"Fruits of the genus Capsicum, other than paprika or anaheim and ancho pepper, dried, neither crushed nor ground",both,
0904.21.80,"Fruits of the genus Pimenta (including allspice), dried",both,
0904.22.20,"Paprika, crushed or ground",both,
0904.22.40,"Anaheim and ancho pepper, crushed or ground",both,
0904.22.73,"Mixtures of mashed or macerated hot red peppers and salt, nesoi",both,
0904.22.76,"Fruits of the genus Capsicum, crushed or ground, nesoi",both,
0904.22.80,"Fruits of the genus Pimenta (including allspice), crushed or ground",both,
0905.10.00,"Vanilla beans, neither crushed nor ground",both,
0905.20.00,"Vanilla beans, crushed or ground",both,
0906.11.00,"Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",both,
0906.19.00,"Cinnamon and cinnamon-tree flowers, nesoi, neither crushed nor ground",both,
0906.20.00,"Cinnamon and cinnamon-tree flowers, crushed or ground",both,
0907.10.00,"Cloves (whole fruit, cloves and stems), neither crushed nor ground",both,
0907.20.00,"Cloves (whole fruit, cloves and stems), crushed or ground",both,
0908.11.00,"Nutmeg, neither crushed nor ground",both,
0908.12.00,"Nutmeg, crushed or ground",both,
0908.21.00,"Mace, neither crushed nor ground",both,
0908.22.20,"Mace, ground, Bombay or wild",both,
0908.22.40,"Mace, crushed or ground, other than ground Bombay or wild mace",both,
0908.31.00,"Cardamoms, neither crushed nor ground",both,
0908.32.00,"Cardamoms, crushed or ground",both,
0909.21.00,"Seeds of coriander, neither crushed nor ground",both,
0909.22.00,"Seeds of coriander, crushed or ground",both,
0909.31.00,"Seeds of cumin, neither crushed nor ground",both,
0909.32.00,"Seeds of cumin, crushed or ground",both,
0909.61.00,"Seeds of anise, badian, caraway or fennel; juniper berries; neither crushed nor ground",both,
0909.62.00,"Seeds of anise, badian, caraway or fennel; juniper berries; crushed or ground",both,
0910.11.00,"Ginger, neither crushed nor ground",both,
0910.12.00,"Ginger, crushed or ground",both,
0910.20.00,Saffron,both,
0910.30.00,Turmeric (curcuma),both,
0910.91.00,Mixtures of spices referred to in note 1(b) to chapter 9 of the HTSUS,both,
0910.99.07,"Bay leaves, other than crude or not manufactured",both,
0910.99.10,Curry,both,
0910.99.20,"Origanum, crude or not manufactured",both,
0910.99.40,"Origanum, other than crude or not manufactured",both,
0910.99.50,Dill,both,
0910.99.60,"Spices, nesoi",both,
1001.11.00,"Durum wheat, seed",new,
1001.91.00,"Seed of wheat and meslin, other than durum wheat",new,
1002.10.00,"Rye, seed",new,
1003.10.00,"Barley, seed",new,
1003.90.40,"Barley, not seed, other than for malting purposes",both,
1004.10.00,"Oats, seed",new,
1005.10.00,Seed corn (maize),new,
1007.10.00,"Grain sorghum, seed",new,
1008.21.00,"Millet, seed",new,
1008.30.00,Canary seed,both,
1008.40.00,Fonio (Digitaria spp.),both,
1008.60.00,Triticale,both,
1106.20.90,"Flour, meal and powder of sago, or of roots or tubers of heading 0714 (excluding Chinese water chestnuts)",both,
1106.30.20,"Flour, meal and powder of banana and plantain",both,
1108.14.00,Cassava (manioc) starch,both,
1108.19.00,"Starches other than wheat, corn (maize), potato or cassava (manioc) starches",both,
1201.10.00,"Soybeans, whether or not broken, seed",new,
1202.30.05,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to gen note 15 of the HTS",new,
1202.30.40,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to add. US note 2 to Ch.12",new,
1202.30.80,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, not subject to gen note 15 or add. US note 2 to Ch.12",new,
1203.00.00,Copra,both,
1204.00.0010,"Flaxseed (linseed), whether or not broken, for sowing",new,
1205.10.0010,"Low erucic acid rape or colza seeds, for sowing",new,
1205.90.0010,"Rape or colza seeds (other than of low erucic acid), whether or not broken, for sowing",new,
1206.00.0031,"Sunflower seeds, whether or not broken, for sowing",new,
1207.21.00,"Cotton seeds, whether or not broken, seed for sowing",new,
1207.30.00,"Castor oil seeds, for sowing",new,Ex
1207.40.00,"Sesame seeds, whether or not broken, for sowing",new,Ex
1207.50.00,"Mustard seeds, whether or not broken, for sowing",new,Ex
1207.60.00,"Safflower (Carthamus tintorius) seeds, for sowing",new,Ex
1207.70.00,Melon seeds,new,
1207.91.00,"Poppy seeds, whether or not broken",both,
1207.99.03,"Other oil seeds and oleaginous fruits whether or not broken, including niger seeds, hemp seeds and seeds nesoi, for sowing",new,Ex
1209.10.00,Sugar beet seeds of a kind used for sowing,new,
1209.21.00,Alfalfa (lucerne) seed of a kind used for sowing,new,
1209.22.20,White and ladino clover seeds of a kind used for sowing,new,
1209.22.40,"Clover seeds, other than white and ladino, of a kind used for sowing",new,
1209.23.00,Fescue seeds of a kind used for sowing,new,
1209.24.00,Kentucky blue grass seeds of a kind used for sowing,new,
1209.25.00,Rye grass seeds of a kind used for sowing,new,
