HS_Code,Description,Exemption_List,Scope_Limitation
2942.00.03,"[2,2'-Thiobis(4-(1,1,3,3-tetramethyl-n- butyl)phenolato)(2,1)]-O,O',S-(1-butanamine), nickel II",new,Pharma
2942.00.05,"Aromatic or modified aromatic drugs of other organic compounds, nesoi",both,Pharma
2942.00.10,"Aromatic or modified aromatic organic compounds, nesoi, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2942.00.35,Other aromatic or modified aromatic organic compounds (excluding products described in additional U.S. note 3 to section VI of the HTSUS),both,Pharma
2942.00.50,"Nonaromatic organic compounds, nesoi",both,Pharma
3001.20.00,Extracts of glands or other organs or of their secretions for organotherapeutic uses,both,
3001.90.01,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered",both,
3002.12.00,Antisera and other blood fractions including human blood plasma and fetal bovine serum (FBS),both,
3002.13.00,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",both,
3002.14.00,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",both,
3002.15.00,"Immunological products, put up in measured doses or in forms or packings for retail sale",both,
3002.41.00,Vaccines for human medicine,both,
3002.42.00,Vaccines for veterinary medicine,both,
3002.49.00,Toxins or cultures of micro-organisms (excluding yeasts),both,
3002.51.00,Cell therapy products,both,
3002.59.00,"Other cell cultures, other than cell therapy products",both,
3002.90.10,"Ferments, excluding yeasts",both,
3002.90.52,"Human blood; animal blood prepared for therapeutic, prophylactic, or diagnostic uses; antisera; antiallergenic preparations, nesoi and like products",both,
3003.10.00,"Medicaments, containing penicillins or streptomycins, not in dosage form and not packed for retail",both,
3003.20.00,"Medicaments containing antibiotics, nesoi, not in dosage form and not packed for retail",both,
3003.31.00,"Medicaments containing insulin, not in dosage form and not packed for retail",new,Pharma
3003.39.10,"Medicaments containing artificial mixtures of natural hormones, but not antibiotics, not in dosage form and not packed for retail",both,
3003.39.50,"Medicaments containing products of heading 2937, nesoi, but not antibiotics, not in dosage form and not packed for retail",both,
3003.41.00,"Medicaments containing ephedrine or its salts, not in dosage form and not packed for retail",both,
3003.42.00,"Medicaments containing pseudoephedrine (INN) or its salts, not in dosage form and not packed for retail",both,
3003.43.00,"Medicaments containing norephedrine or its salts, not in dosage form and not packed for retail",new,Pharma
3003.49.00,"Other medicaments containing alkaloids or derivatives thereof, nesoi, not in dosage form and not packed for retail",both,
3003.60.00,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, not dosage form and not packed for retail",new,Pharma
3003.90.01,"Other medicaments (excluding goods of headings 3002, 3005 and 3006) consisting of two or more constituents mixed together for therapeutic or prophylactic uses, not in dosage form and not packed for retail",both,
3004.10.10,"Medicaments (excluding goods of headings 3002, 3005 and 3006) containing penicillin G salts, in dosage form or packed for retail",both,
3004.10.50,"Medicaments containing penicillins or streptomycins, nesoi, in dosage form or packed for retail",both,
3004.20.00,"Medicaments containing antibiotics, nesoi, in dosage form or packed for retail",both,
3004.31.00,"Medicaments containing insulin, in dosage form or packed for retail",both,
3004.32.00,"Medicaments containing corticosteroidhormones, in dosage form or packed for retail",both,
3004.39.00,"Medicaments containing products of heading 2937 nesoi, in dosage form or packed for retail",both,
3004.41.00,"Medicaments containing ephedrine or its salts, in dosage form or packed for retail",both,
3004.42.00,"Medicaments containing pseudoephedrine (INN) or its salts, in dosage form or packed for retail",both,
3004.43.00,"Medicaments containing norephedrine or its salts, in dosage form or packed for retail",new,Pharma
3004.49.00,"Other medicaments containing alkaloids or derivatives thereof, nesoi, in dosage form or packed for retail",both,
3004.50.10,"Medicaments containing vitamin B2 synthesized from aromatic or modified aromatic industrial organic compounds, in dosage form or packed for retail",both,
3004.50.20,"Medicaments containing vitamin B12 synthesized from aromatic or modified aromatic industrial organic compounds, in dosage form or packed for retail",both,
3004.50.30,"Medicaments containing vitamin E synthesized from aromatic or modified aromatic industrial organic compounds, in dosage form or packed for retail",both,
3004.50.40,"Medicaments containing vitamins nesoi, synthesized from aromatic or modified aromatic industrial organic compounds, in dosage form or packed for retail",both,
3004.50.50,"Medicaments containing vitamins or other products of heading 2936, nesoi, in dosage form or packed for retail",both,
3004.60.00,"Other medicaments containing antimalarial active principles described in subheading note 2 to chapter 30 of the HTSUS, in dosage form or packed for retail",both,
3004.90.10,"Medicaments containing antigens or hyaluronic acid or its sodium salt, nesoi, in dosage form or packed for retail",both,
3004.90.92,"Medicaments nesoi, in dosage form or packed for retail",both,
3006.30.10,Opacifying preparation for X-ray examination; diagnostic reagents designed to be administered to the patient; containing antigens or antisera,both,
3006.30.50,"Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient, nesoi",both,
3006.60.00,Chemical contraceptive preparations based on hormones or spermicides,both,
3006.70.00,"Gel preparations designed to be used in human or veterinary medicine as a lubricant in surgical operation, physical examinations or as a coupling agent between body and medical instrument",both,Pharma
3006.92.00,Waste pharmaceuticals,new,Pharma
3006.93.10,"Placebos and blinded clinical trial kits, put up in measured doses, packaged with medicinal preparations",both,
3006.93.20,"Placebos and blinded clinical trial kits, put up in measured doses, containing over 10 percent by dry weight of sugar",both,
3006.93.50,"Placebos and blinded clinical trial kits, put up in measured doses, containing ingredients having nutritional value",both,
3006.93.60,"Placebos and blinded clinical trial kits, put up in measured doses, in liquid form for oral intake",both,
3006.93.80,"Placebos and blinded clinical trial kits, put up in measured doses, containing other chemicals other than medicaments",both,Pharma
3101.00.00,Animal or vegetable fertilizers; fertilizers produced by the mixing or chemical treatment of animal or vegetable products,both,
3102.10.00,"Urea, whether or not in aqueous solution",both,
3102.21.00,Ammonium sulfate,both,
3102.29.00,Double salts and mixtures of ammonium sulfate and ammonium nitrate,both,
3102.30.00,"Ammonium nitrate, whether or not in aqueous solution",both,
3102.40.00,Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilizing substances,both,
3102.50.00,Sodium nitrate,both,
3102.60.00,Double salts and mixtures of calcium nitrate and ammonium nitrate,both,
3102.80.00,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution,both,
3102.90.01,"Mineral or chemical fertilizers, nitrogenous, nesoi, including mixtures not specified elsewhere in heading 3102",both,
3103.11.00,Superphosphates containing by weight 35 percent or more of diphosphorous pentaoxide (P2O5),both,
3103.19.00,Superphosphates nesoi,both,
3103.90.01,"Mineral or chemical fertilizers, phosphatic",both,
3104.20.00,Potassium chloride,both,
3104.30.00,Potassium sulfate,both,
3104.90.01,"Mineral or chemical fertilizers, potassic, nesoi",both,
3105.10.00,Fertilizers of chapter 31 of the HTSUS in tablets or similar forms,both,
3105.20.00,"Mineral or chemical fertilizers nesoi, containing three fertilizing elements",both,
3105.30.00,Diammonium hydrogenorthophosphate (Diammonium phosphate),both,
3105.40.00,"Ammonium dihydrogenorthophosphate (Monoammonium phosphate), mixtures thereof with diammonium hydrogenorthophosphate (Diammonium phosphate)",both,
3105.51.00,"Mineral or chemical fertilizers nesoi, containing nitrates and phosphates",both,
3105.59.00,"Mineral or chemical fertilizers nesoi, containing the two fertilizing elements nitrogen and phosphorus",both,
3105.60.00,"Mineral or chemical fertilizers nesoi, containing 2 fertilizing elements",both,
3105.90.00,"Mineral or chemical fertilizers containing two or three of the fertilizing elements nitrogen, phosphorus and potassium fertilizers, nesoi",both,
3203.00.80,"Coloring matter of vegetable or animal origin, nesoi",both,Pharma
3204.13.60,"Basic dyes and preparations based thereon, described in additional U.S note 3 to section VI of the HTSUS",new,Pharma
3204.13.80,"Basic dyes and preparations based thereon, nesoi",both,Pharma
3204.17.20,Copper phthalocyanine ([Phthalocyanato(2-)]copper) not ready for use as a pigment,both,
3204.18.00,Carotenoid coloring matters and preparations based thereon,both,Pharma
3204.90.00,"Synthetic organic coloring matter or preparations based thereon, nesoi; synthetic organic products used as luminophores",new,Pharma
3206.11.00,"Pigments and preparations based on titanium dioxide, containing 80 percent or more by weight of titanium dioxide calculated on the dry matter",both,
3206.19.00,"Pigments and preparations based on titanium dioxide, nesoi",both,
3301.29.51,"Essential oils other than those of citrus fruit, nesoi, for religious purposes only",both,Ex
3401.30.10,"Organic surface-active products for washing skin, in liquid or cream form, containing any aromatic or modified aromatic surface-active agent, put up for retail",new,Pharma
3402.42.10,"Non-ionic organic surface-active agents, aromatic or modified aromatic",both,Pharma
3402.42.20,"Fatty substances of animal, vegetable or microbial origin; non-ionic organic surface-active agents, other than aromatic or modified aromatic",both,Pharma
3402.42.90,"Non-ionic organic surface-active agents, other than fatty substances of animal, vegetable or microbial origin, other than aromatic or modified aromatic",both,Pharma
3402.50.11,"Preparations of organic surface-active agents, put up for retail sale, containing any aromatic or modified aromatic surface-active agent",new,Pharma
3507.90.70,"Enzymes and prepared enzymes, nesoi",new,Pharma
3606.90.30,Ferrocerium and other pyrophoric alloys in all forms,both,
3802.10.00,Activated carbon,new,Pharma
3808.59.40,Disinfectants specified in subheading note 1 to chapter 38,new,Pharma
3808.59.50,"Pesticides, nesoi, specified in subheading note 1 to chapter 38",new,Pharma
3808.61.50,"Pesticides, nesoi, not exceeding 300g, specified in subheading note 2 to chapter 38",new,Pharma
3808.94.10,"Disinfectants, containing any aromatic or modified aromatic disinfectant",both,Pharma
3808.94.50,"Disinfectants not included in subheading note 1 of chapter 38 of the HTSUS, nesoi",both,Pharma
3812.31.00,"Mixtures of oligomers of 2,2,4-trimethyl-1,2- dihydroquinoline (TMQ)",new,Pharma
3815.11.00,Supported catalysts with nickel or nickel compounds as the active substance,new,Pharma
3815.12.00,Supported catalysts with precious metal or precious metal compounds as the active substance,new,Pharma
3815.90.50,"Reaction initiators, reaction accelerators and catalytic preparations, nesoi",new,Pharma
3818.00.00,"Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",both,
3824.81.00,Chemical mixtures containing oxirane (ethylene oxide),new,Pharma
3824.82.10,"Goods specified in subheading note 3 to chapter 38, containing PCBs, PCTs or PBBs, chlorinated but not otherwise halogenated, nesoi",new,Pharma
3824.82.90,"Goods specified in subheading note 3 to chapter 38, containing PCBs, PCTs or PBBs, other than chlorinated only, nesoi",new,Pharma
3824.83.00,"Containing tris(2,3-dibromopropyl) phosphate",new,Pharma
3824.84.00,"Other mixtures containing aldrin, camphechlor (toxaphene), chlordane, chlordecone, DDT (clofenatone), 1,1,1-trichloro-2,2-bis(p- chlorophenyl)ethane), dieldrin, endosulfan, endrin, heptachlor or mirex",new,Pharma
3824.85.00,"Mixtures containing 1,2,3,4,5,6- hexachlorocyclohexane (HCH (ISO)), including lindane (ISO,INN)",new,Pharma
3824.86.00,Mixtures containing pentachlorobenzene (ISO) or hexachlorobenzene (ISO),new,Pharma
3824.87.00,"Mixtures containing perfluorooctane sulfonic acid, its salts, perfluorooctane sulfonamides, or perfluorooctane sulfonyl fluoride",new,Pharma
3824.88.00,"Mixtures containing tetra-, penta-, hexa-, hepta-, or octabromodiphenyl ethers",new,Pharma
3824.89.00,Mixtures containing short-chain chlorinated paraffins,new,Pharma
3824.91.00,Mixtures consisting mainly of methylphosphonate etc.,both,Pharma
3824.92.00,Polyglycol esters mixtures of methylphosphonic acid,new,Pharma
3824.99.25,"Mixtures of triphenyl sulfonium chloride, diphenyl (4-phenylthio)phenyl sulfonium chloride and (thiodi- 4,1- phenylene)bis(diphenyl sulfonium) dichloride",new,Pharma
3824.99.29,"Mixtures containing 5 percent or more by weight of one or more aromatic or modified aromatic substance, nesoi",both,Pharma
3824.99.49,"Mixtures that are in whole or in part of hydrocarbons derived in whole or in part from petroleum, shale oil or natural gas",both,Pharma
3824.99.50,Mixtures chlorinated but not otherwise halogenated,new,Pharma
3824.99.55,"Mixtures of halogenated hydrocarbons, nesoi",both,Pharma
3824.99.93,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi",new,Pharma
3826.00.30,Biodiesel containing less than 70 percent petroleum or bituminous oil,new,Pharma
3827.13.00,Mixtures containing carbon tetrachloride,new,Pharma
3827.14.00,Mixtures containing methyl chloroform,new,Pharma
3827.40.00,Mixtures containing bromomethane or bromochloromethane,new,Pharma
3901.90.90,"Polymers of ethylene, nesoi, in primary forms, other than elastomeric",both,Pharma
3902.90.00,"Polymers of propylene or of other olefins, nesoi, in primary forms",both,Pharma
3904.61.00,"Polytetrafluoroethylene (PTFE), in primary forms",both,Pharma
3905.91.10,"Copolymers of vinyl esters or other vinyls, in primary forms, containing by weight 50 percent or more of derivatives of vinyl acetate",both,Pharma
3905.91.50,"Copolymers of vinyl esters or other vinyls, in primary forms, nesoi",new,Pharma
3905.99.80,"Polymers of vinyl esters or other vinyl polymers, in primary forms, nesoi",both,Pharma
3906.90.50,"Acrylic polymers (except plastics or elastomers), in primary forms, nesoi",both,Pharma
3907.10.00,Polyacetals in primary forms,both,Pharma
3907.21.00,Bis(polyoxyethylene) methylphosphonate,both,Pharma
3907.29.00,"Polyethers, other than polyacetals or bis(polyoxyethylene) methylphosphonate, in primary forms",new,Pharma
3907.30.00,Epoxide resins in primary forms,new,Pharma
3907.61.00,"Polyethylene terephthalate, having a viscosity number of 78 ml/g or higher",new,Pharma
3907.69.00,"Polyethylene terephthalate, having a viscosity number less than 78 ml/g",new,Pharma
3907.70.00,Poly(lactic acid),both,Pharma
3907.99.50,"Other polyesters nesoi, saturated, in primary forms",new,Pharma
3908.10.00,"Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12 in primary form",both,Pharma
3908.90.20,Bis(4-amino-3- methylcyclohexyl)methaneisophthalic acid- laurolactam copolymer,new,Pharma
3909.10.00,Urea resins; thiourea resins,new,Pharma
3909.40.00,Phenolic resins,new,Pharma
3910.00.00,Silicones in primary forms,new,Pharma
3911.20.00,"Poly(1,3-phenylene methylphosphonate)",new,Pharma
3911.90.25,"Thermoplastic polysulfides, polysulfones and other products specified in note 3 to chapter 39 of the HTSUS, containing aromatic monomer units or derived therefrom",both,Pharma
3911.90.45,"Thermosetting polysulfides, polysulfones and other products specified in note 3 to chapter 39, containing aromatic monomer units or derived therefrom",new,Pharma
3911.90.91,"Polysulfides, polysulfones and other products specified in note 3 to chapter 39 of the HTSUS, nesoi",both,Pharma
3912.20.00,"Cellulose nitrates (including collodions), in primary forms",new,Pharma
3912.31.00,Carboxymethylcellulose and its salts,both,Pharma
3912.39.00,"Cellulose ethers, other than carboxymethylcellulose and its salts, in primary forms",both,Pharma
3912.90.00,"Cellulose and its chemical derivatives, nesoi, in primary forms",both,Pharma
3913.90.20,"Polysaccharides and their derivatives, nesoi, in primary forms",both,Pharma
3913.90.50,"Natural polymers and modified natural polymers, nesoi, in primary forms",both,Pharma
3914.00.20,Cross-linked polyvinylbenzyltrimethylammonium chloride (Cholestyramine resin USP),new,Pharma
3914.00.60,"Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms, nesoi",both,Pharma
3917.21.00,"Tubes, pipes and hoses, rigid, of polymers of ethylene",both,Aircraft
3917.22.00,"Tubes, pipes and hoses, rigid, of polymers of propylene",both,Aircraft
3917.23.00,"Tubes, pipes and hoses, rigid, of polymers of vinyl chloride",both,Aircraft
3917.29.00,"Tubes, pipes and hoses, rigid, of other plastics nesoi",both,Aircraft
3917.31.00,"Flexible plastic tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",both,Aircraft
3917.33.00,"Flexible plastic tubes, pipes and hoses, nesoi, with fittings, not reinforced or otherwise combined with other materials",both,Aircraft
3917.39.00,"Flexible plastic tubes, pipes and hoses, nesoi",both,Aircraft
3917.40.00,"Fittings of plastics, for plastic tubes, pipes and hoses, nesoi",both,Aircraft
3926.90.45,"Gaskets, washers and other seals, of plastics",both,Aircraft
3926.90.94,"Cards, not punched, suitable for use as, or in making, jacquard cards; Jacquard cards and jacquard heads for power-driven weaving machines, and parts thereof; and transparent sheeting of plastics containing 30 percent or more by weight of lead",both,Aircraft
3926.90.96,"Casing for bicycle derailleur cables; and casing for cable or inner wire for caliper and cantilever brakes, whether or not cut to length; of plastic",both,Aircraft
3926.90.99,"Other articles of plastic, nesoi",both,Aircraft
4001.10.00,"Natural rubber latex, whether or not prevulcanized",both,
4001.21.00,Natural rubber smoked sheets,both,
4001.22.00,"Technically specified natural rubber (TSNR), in primary forms",both,
4001.29.00,"Natural rubber in primary forms other than latex, smoked sheets or technically specified natural rubber (TSNR)",both,
4001.30.00,"Balata, gutta-percha, guayule, chicle and similar natural rubber gums, in primary forms",both,
4008.29.20,"Rods and profile shapes of vulcanized, noncellular rubber, other than hard rubber",both,Aircraft
4009.12.00,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, not reinforced or combined with other materials, with fittings",both,Aircraft
4009.22.00,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined only with metal, with fittings",both,Aircraft
4009.32.00,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined only with textile materials, with fittings",both,Aircraft
4009.42.00,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined with other materials nesoi, with fittings",both,Aircraft
4011.30.00,"New pneumatic tires, of rubber, of a kind used on aircraft",both,Aircraft
4012.13.00,"Retreaded pneumatic tires, of rubber, of a kind used on aircraft",both,Aircraft
4012.20.10,"Used pneumatic tires of rubber, for aircraft",both,Aircraft
4016.10.00,Articles of vulcanized cellular rubber other than hard rubber,both,Aircraft
4016.93.50,"Gaskets, washers and other seals, of noncellular vulcanized rubber other than hard rubber, not for use in automotive goods of chapter 87 of the HTSUS",both,Aircraft
4016.99.35,"Articles made of noncellular vulcanized natural rubber, not used as vibration control goods in vehicles of headings 8701 through 8705, nesoi",both,Aircraft
4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber,both,Aircraft
4017.00.00,"Hard rubber (for example, ebonite) in all forms, including waste and scrap; articles of hard rubber",both,Aircraft
4113.30.30,"Reptile leather, not fancy, further prepared after tanning or crusting, other than leather of heading",new,
4113.30.60,"Reptile leather, fancy, further prepared after tanning or crusting, other than leather of heading 4114",new,
4113.90.30,"Leather of animals nesoi, without hair on, not fancy, further prepared after tanning or crusting, other than leather of heading 4114",new,
4113.90.60,"Leather of animals nesoi, without hair on, fancy, further prepared after tanning or crusting, other than leather of heading 4114",new,
4403.42.00,"Wood in the rough or roughly squared, of teak, not treated with paint, stain, creosote, or other preservatives",both,
4403.49.02,"Wood in the rough or roughly squared, of tropical wood other than Teak or Meranti, not treated with paint, stain, creosote, or other preservatives",both,
4403.98.00,"Eucalyptus wood in the rough/roughly squared, not treated with preservatives",new,
4407.21.00,"Mahogany (Swietenia spp.), sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.22.00,"Virola, Imbuia and Balsa, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.23.01,"Teak, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.25.00,"Dark Red Meranti, Light Red Meranti and Meranti Bakau wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.26.00,"White Lauan, White Meranti, White Seraya, Yellow Meranti and Alan wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.27.00,"Sapelli wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.28.00,"Iroko wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.29.02,"Tropical wood, nesoi, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",both,
4407.99.0295,"Nonconiferous wood, nesoi, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick; other",new,
4408.31.01,"Dark Red Meranti, Light Red Meranti and Meranti Bakau veneer sheets, for plywood and other wood, sawn lengthwise, sliced or peeled, not over 6 mm thick",both,
4408.39.02,"Other tropical wood veneer sheets, for plywood and other wood, sawn lengthwise, sliced or peeled, not over 6 mm thick",both,
4412.33.57,"Eucalyptus plywood sheets n/o 6mm thick, outerply of specified nonconiferous wood including birch and walnut, surface covered beyond clear/transparen",new,Ex
4504.90.00,"Agglomerated cork and articles of cork, nesoi",both,Aircraft
4703.11.00,Unbleached coniferous chemical woodpulp,both,
4703.21.00,Semibleached or bleached coniferous chemical woodpulp,both,
4703.29.00,Semibleached or bleached nonconiferous chemical woodpulp,both,
4823.90.10,"Articles of paper pulp, nesoi",both,Aircraft
4823.90.20,"Articles of papier-mâché, nesoi",both,Aircraft
4823.90.31,"Cards of paper or paperboard, nesoi, not punched, for punchcard machines, whether or not in strips",both,Aircraft
4823.90.40,Frames or mounts for photographic slides of paper or paperboard,both,Aircraft
4823.90.50,Hand fans of paper or paperboard,both,Aircraft
4823.90.60,"Gaskets, washers and other seals of coated paper or paperboard",both,Aircraft
4823.90.67,"Coated paper or paperboard, nesoi",both,Aircraft
4823.90.70,"Articles of cellulose wadding, nesoi",both,Aircraft
4823.90.80,"Gaskets, washers and other seals of paper, paperboard and webs of cellulose fibers, nesoi",both,Aircraft
4823.90.86,"Articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibers, nesoi",both,Aircraft
6309.00.00,Worn clothing and other worn articles,new,
6812.80.90,"Articles or mixtures of crocidolite, nesoi",both,Aircraft
6812.99.10,"Paper, millboard and felt of asbestos, other than crocidolite",both,Aircraft
6812.99.20,"Compressed asbestos (other than crocidolite) fiber jointing, in sheets or rolls",both,Aircraft
6812.99.90,"Articles of mixtures of or with a basis of asbestos, nesoi, other than crocidolite",both,Aircraft
6813.20.00,"Friction material and articles thereof, containing asbestos",both,Aircraft
6813.81.00,Brake linings and pads not containing asbestos,both,Aircraft
6813.89.00,"Friction material and articles thereof with a basis of mineral substances (other than asbestos) or of cellulose, nesoi",both,Aircraft
7007.21.11,"Laminated safety glass windshields, of size and shape suitable for incorporation in vehicles (other than for goods of headings 8701 through 8705), aircraft, spacecraft or vessels",both,Aircraft
7106.91.10,Silver bullion and dore,both,
7108.11.00,"Gold, nonmonetary, powder",both,
7108.12.10,"Gold, nonmonetary, bullion and dore",both,
7108.12.50,"Gold, nonmonetary, other unwrought forms, other",both,
7108.13.10,"Gold, nonmonetary, other semimanufactured forms, gold leaf",both,
7108.13.55,"Gold, nonmonetary, other semimanufactured forms, rectangular or near rectangular shapes, containing 99.5 percent or more by weight of gold and not otherwise marked or decorated than with weight, purity, or other identifying information",both,
7108.13.70,"Gold, nonmonetary, other semimanufactured forms, other",both,
7108.20.00,"Gold, monetary",both,
7110.11.00,"Platinum, unwrought or in powder form",both,
7110.19.00,"Platinum, in semimanufactured forms",both,
7110.21.00,"Palladium, unwrought or in powder form",both,
7110.29.00,"Palladium, in semimanufactured forms",both,
7110.31.00,"Rhodium, unwrought or in powder form",both,
7110.39.00,"Rhodium, in semimanufactured forms",both,
7110.41.00,"Iridium, osmium and ruthenium, unwrought or in powder form",both,
7110.49.00,"Iridium, osmium and ruthenium, in semimanufactured forms",both,
7112.30.01,"Ash containing precious metals or precious metal compounds, other than goods of e-waste heading",new,
7112.92.01,"Platinum waste and scrap, including metal clad with platinum, excluding sweepings containing other precious metals, other than goods of heading 8549",both,
7115.90.05,"Articles of precious metal, in rectangular or near rectangular shapes, containing 99.5 percent or more by weight of a precious metal and not otherwise marked or decorated than with weight, purity, or other identifying information",both,
7115.90.30,"Articles of precious metal or of metal clad with precious metal, other articles of gold, including metal clad with gold",both,
7118.90.00,"Coins, nesoi",both,
7201.10.00,Nonalloy pig iron containing by weight 0.5 percent or less of phosphorus,new,
7201.20.00,Nonalloy pig iron containing by weight more than 0.5 percent of phosphorus,new,
7201.50.30,Alloy pig iron in blocks or other primary forms,new,
7202.11.10,Ferromanganese containing by weight more than 2 percent but not more than 4 percent of carbon,both,
7202.11.50,Ferromanganese containing by weight more than 4 percent of carbon,both,
7202.19.10,Ferromanganese containing by weight not more than 1 percent of carbon,both,
7202.19.50,Ferromanganese containing by weight more than 1 percent but not more than 2 percent of carbon,both,
7202.30.00,Ferrosilicon manganese,both,
7202.41.00,Ferrochromium containing by weight more than 4 percent of carbon,both,
7202.49.10,Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,both,
7202.49.50,Ferrochromium containing by weight 3 percent or less of carbon,both,
7202.50.00,Ferrosilicon chromium,both,
7202.60.00,Ferronickel,both,
7202.80.00,Ferrotungsten and ferrosilicon tungsten,both,
7202.91.00,Ferrotitanium and ferrosilicon titanium,both,
7202.93.40,Ferroniobium containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon,both,
7202.93.80,"Ferroniobium, nesoi",both,
7203.10.00,Ferrous products obtained by direct reduction of iron ore,new,
7203.90.00,"Spongy ferrous products, in lumps, pellets or like forms; iron of a minimum purity by weight of 99.94% in lumps, pellets or like forms",new,
7204.10.00,Cast iron waste and scrap,new,
7204.21.00,Stainless steel waste and scrap,both,
7204.29.00,Alloy steel (o/than stainless) waste and scrap,new,
7204.30.00,Tinned iron or steel waste and scrap,new,
7204.41.00,"Ferrous turnings, shavings, chips, milling wastes, sawdust, fillings, trimmings and stampings, whether or not in bundles",new,
7204.49.00,Ferrous waste and scrap nesoi,new,
7204.50.00,Iron or steel remelting scrap ingots,new,
7304.31.30,"Iron (other than cast) or nonalloy steel, seamless, cold-drawn or cold-rolled, hollow bars with circular cross section",both,Aircraft
7304.31.60,"Iron (other than cast) or nonalloy steel, seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi",both,Aircraft
7304.39.00,"Iron (other than cast) or nonalloy steel, seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi",both,Aircraft
7304.41.30,"Stainless steel, seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section and external diameter of less than 19mm",both,Aircraft
7304.41.60,"Stainless steel, seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section and external diameter of 19mm or more",both,Aircraft
7304.49.00,"Stainless steel, seamless, not cold-drawn or cold- rolled, tubes, pipes and hollow profiles, with circular cross section",both,Aircraft
7304.51.10,"Alloy steel (other than stainless), seamless, cold- drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, for manufacture of ball or roller bearings",both,Aircraft
7304.51.50,"Alloy steel (other than stainless), seamless, cold- drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi",both,Aircraft
7304.59.10,"Alloy steel (other than stainless), seamless, not old- drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, for manufacture of ball or roller bearings",both,Aircraft
7304.59.20,"Alloy steel (other than stainless), seamless, not cold- drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, for boilers, heaters, etc.",both,Aircraft
7304.59.60,"Heat-resisting alloy steel (other than stainless), seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi",both,Aircraft
7304.59.80,"Alloy steel (other than heat-resist or stainless), seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi",both,Aircraft
7304.90.10,"Iron (other than cast) or nonalloy steel, seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of 4 mm or more",both,Aircraft
7304.90.30,"Alloy steel (other than stainless), seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of 4 mm or more",both,Aircraft
7304.90.50,"Iron (other than cast) or nonalloy steel, seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of less than 4 mm",both,Aircraft
7304.90.70,"Alloy steel (other than stainless), seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of less than 4 mm",both,Aircraft
7306.30.10,"Iron or nonalloy steel, welded, with circular cross section and external diameter of 406.4mm or less, tubes, pipes and hollow profiles, with wall thickness of less than 1.65 mm",both,Aircraft
7306.30.30,"Nonalloy steel, welded, with circular cross-section and external diameter 406.4mm or less, tapered pipes and tubes, with wall thickness of 1.65 mm or more, principally used as parts of illuminating articles",both,Aircraft
