HS Code,Description,Status
2903.48.00,"1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC- 4310mee)",New (added in July)
2903.49.00,"Other saturated fluorinated derivatives of acyclic hydrocarbons, nesoi",New (added in July)
2903.59.10,"1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-prop-1-ene",New (added in July)
2903.69.10,"Acetylene tetrabromide; alkyl bromides, other than methyl bromide (bromomethane); methylene dibromide; and vinyl bromide",New (added in July)
2903.71.01,Chlorodifluoromethane (HCFC-22),New (added in July)
2903.77.00,"Other acyclic hydrocarbon derivatives, perhalogenated only with fluorine and chlorine",New (added in July)
2903.81.00,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",New (added in July)
2903.93.00,"Halogenated derivatives of aromatic hydrocarbons, pentachlorobenzene",New (added in July)
2903.94.00,"Halogenated derivatives of aromatic hydrocarbons, hexabromobiphenyls",New (added in July)
2903.99.20,"Benzyl chloride (α-Chlorotoluene); Benzotrichloride (α, α, α-Trichlorotoluene)",New (added in July)
2903.99.80,"Other halogenated derivatives of aromatic hydrocarbons, nesoi",New (added in July)
2904.10.32,"Aromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl esters, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2904.10.50,"Nonaromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl esters, nesoi",New (added in July)
2904.20.10,p-Nitrotoluene,New (added in July)
2904.20.15,p-Nitro-o-xylene,New (added in July)
2904.20.20,Trinitrotoluene,New (added in July)
2904.20.30,"5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylol) and other artificial musks",New (added in July)
2904.20.35,"Nitrated benzene, nitrated toluene (except p- nitrotoluene) or nitrated naphthalene",New (added in July)
2904.20.40,"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2904.20.45,"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesoi",New (added in July)
2904.20.50,"Nonaromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesoi",New (added in July)
2904.99.04,Monochloromononitrobenzenes; o- nitrochlorobenzene; p-nitrochlorobenzene,New (added in July)
2904.99.08,Monochloromononitrobenzenes nesoi,New (added in July)
2904.99.15,"4-Chloro-3-nitro-α-α-α-trifluorotoluene; 2-Chloro-5- nitro-α-α-α-trifluorotoluene; and 4-Chloro-3,5- dinitro-α-α-α-trifluorotoluene",New (added in July)
2904.99.20,Nitrotoluenesulfonic acids,New (added in July)
2904.99.30,"1-Bromo-2-nitrobenzene; 1,2-Dichloro-4- nitrobenzene and o-Fluoronitrobenzene",New (added in July)
2904.99.35,"4,4'-Dinitrostilbene-2,2'-disulfonic acid",New (added in July)
2904.99.47,"Other sulfonated, nitrated or nitrosated derivatives of aromatic hydrocarbons excluding aromatic products described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2904.99.50,"Nonaromatic sulfonated, nitrated or nitrosated derivatives of hydrocarbons, nesoi",New (added in July)
2905.11.20,"Methanol (Methyl alcohol), other than imported only for use in producing synthetic natural gas (SNG) or for direct use as fuel",New (added in July)
2905.12.00,Propan-1-ol (Propyl alcohol) and Propan-2-ol (isopropyl alcohol),New (added in July)
2905.13.00,Butan-1-ol (n-Butyl alcohol),New (added in July)
2905.19.10,Pentanol (Amyl alcohol) and isomers thereof,New (added in July)
2905.19.90,"Saturated monohydric alcohols, nesoi",New (added in July)
2905.22.10,Geraniol,New (added in July)
2905.22.20,Isophytol,New (added in July)
2905.22.50,"Acyclic terpene alcohols, other than geraniol and isophytol",New (added in July)
2905.31.00,Ethylene glycol (Ethanediol),New (added in July)
2905.32.00,"Propylene glycol (Propane-1,2-diol)",New (added in July)
2905.49.20,Esters of glycerol formed with the acids of heading 2904,New (added in July)
2905.49.50,"Polyhydric alcohols, nesoi",New (added in July)
2905.51.00,Ethchlorvynol (INN),New (added in July)
2906.11.00,Menthol,New (added in July)
2907.11.00,Phenol (Hydroxybenzene) and its salts,New (added in July)
2907.19.10,Alkylcresols,New (added in July)
2907.19.20,Alkylphenols,New (added in July)
2907.19.40,Thymol,New (added in July)
2907.19.80,Other monophenols,New (added in July)
2908.19.10,6-Chloro-m-cresol [OH=1]; m-chlorophenol; and chlorothymol,New (added in July)
2908.19.35,Derivatives of phenols or phenol-alcohols containing only halogen substituents and their salts described in additional U.S. note 3 to section VI of the HTSUS,New (added in July)
2908.99.12,"Derivatives nesoi, of phenols or phenol-alcohols containing only sulfo groups, their salts and esters, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2908.99.15,"Derivatives of phenol or phenol-alcohols containing only sulfo groups, their salts and esters, nesoi",New (added in July)
2908.99.25,"Nitrophenols, except p-nitrophenol",New (added in July)
2909.11.00,Diethyl ether,New (added in July)
2909.19.60,"Ethers of polyhydric alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",New (added in July)
2909.30.40,"Aromatic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2909.49.05,Guaifenesin,New (added in July)
2909.50.20,Guaiacol and its derivatives,New (added in July)
2910.10.00,Oxirane (Ethylene oxide),New (added in July)
2910.30.00,"1-Chloro-2,3-epoxypropane (Epichlorohydrin)",New (added in July)
2910.40.00,"Dieldrin (ISO, INN)",New (added in July)
2910.50.00,Endrin,New (added in July)
2910.90.10,Butylene oxide,New (added in July)
2910.90.20,"Aromatic epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their derivatives, nesoi",New (added in July)
2910.90.91,"Other nonaromatic epoxides, epoxyalcohols and epoxyethers, with a three-membered ring, and their halogenated, sulfonated, nitrated or nitrosated derivatives",New (added in July)
2911.00.10,"1,1-Bis(1-methylethoxy)cyclohexane",New (added in July)
2911.00.50,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated or nitrosated derivatives",New (added in July)
2912.29.60,Other cyclic aldehydes without other oxygen function,New (added in July)
2912.60.00,Paraformaldehyde,New (added in July)
