HS Code,Description,New or Existing,Applies To,Scope Limitation
4409.22.65,"Nonconiferous tropical wood dowel rods, sanded, grooved or otherwise advanced in condition, whether or not continuously shaped along its edges or faces but not its ends",New,Argentina,
4409.22.90,"Other nonconiferous tropical wood, whether or not continuously shaped along its edges or faces but not its ends",New,Argentina,
4412.31.06,"Plywood sheets not over 6 mm thick, tropical wood outer ply, birch face ply, not surface covered beyond clear or transparent",New,Argentina,
4412.31.26,"Plywood sheets not over 6 mm thick, tropical wood outer ply, Spanish cedar or walnut face ply, not surface covered beyond clear or transparent",New,Argentina,
4412.31.42,"Plywood sheets not over 6 mm thick, tropical wood outer ply, with mahogany face ply, not surface covered beyond clear or transparent",New,Argentina,
4412.31.45,"Plywood sheets not over 3.6 mm thick, exceeding 1.2 m width and 2.2 m length, tropical wood outer ply, not mahogany face ply, not surface covered beyond clear or transparent",New,Argentina,
4412.31.48,"Plywood sheets not over 3.6 mm thick, tropical wood outer ply, not mahogany face ply, not surface covered beyond clear or transparent, nesoi",New,Argentina,
4412.31.52,"Plywood sheets not over 6 mm thick, tropical wood nesoi outer ply, with face ply nesoi, not surface covered beyond clear or transparent",New,Argentina,
4412.31.61,"Plywood sheets not over 6 mm thick, with certain specified tropical wood outer ply, surface covered beyond clear or transparent",New,Argentina,
4412.31.92,"Plywood sheets not over 6 mm thick, tropical wood nesoi at least one outer ply, surface covered beyond clear or transparent",New,Argentina,
4412.41.00,Laminated veneered lumber with outer ply of tropical wood,New,Argentina,
4412.51.10,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, not surface covered beyond clear or transparent, with face ply of birch",New,Argentina,
4412.51.31,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, not surface covered beyond clear or transparent, not with face ply of birch",New,Argentina,
4412.51.41,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, surface covered other than clear or transparent",New,Argentina,
4412.51.51,"Blockboard, laminboard and battenboard other than of plywood nesoi, outer ply of tropical wood",New,Argentina,
4412.91.06,"Not blockboard, laminboard or battenboard, outer ply of tropical wood, containing particle board",New,Argentina,
4412.91.10,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, no particle board, not",New,Argentina,
4412.91.31,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, no particle board, not surface covered beyond clear or transparent, not with face ply of birch",New,Argentina,
4412.91.41,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, surface covered beyond clear or transparent",New,Argentina,
4412.91.51,"Not blockboard, laminboard or battenboard, veneered panels and similar laminated wood with outer ply of tropical wood, nesoi",New,Argentina,
4501.10.00,"Natural cork, raw or simply prepared",New,Argentina,
4501.90.20,Waste cork,New,Argentina,
4501.90.40,"Crushed, granulated or ground cork",New,Argentina,
4502.00.00,"Natural cork, debacked or roughly squared or in rectangular blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",New,Argentina,
4503.10.20,"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, not over 19mm maximum diameter",New,Argentina,
4503.10.30,"Corks and stoppers wholly of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, over 19mm maximum diameter",New,Argentina,
4503.10.40,"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, over 19mm maximum diameter, nesoi",New,Argentina,
4503.10.60,"Corks and stoppers of natural cork, of a thickness (or length) not greater than the maximum diameter",New,Argentina,
4503.90.20,"Disks, wafers and washers of natural cork",New,Argentina,
4503.90.40,"Natural cork wallcoverings, backed with paper or otherwise reinforced",New,Argentina,
4503.90.60,"Articles of natural cork, other than corks and stoppers",New,Argentina,
4504.10.10,Vulcanized sheets and slabs wholly of agglomerated ground or pulverized cork and rubber,New,Argentina,
4504.10.20,"Insulation of compressed agglomerated cork, coated or not coated",New,Argentina,
4504.10.30,Floor coverings of agglomerated cork,New,Argentina,
4504.10.40,"Agglomerated cork wallcoverings, backed with paper or otherwise reinforced",New,Argentina,
4504.10.45,"Agglomerated cork stoppers, not tapered, wholly of cork, of a thickness (or length) greater than the maximum diameter",New,Argentina,
4504.10.47,"Corks, stoppers, disks, wafers and washers of agglomerated cork, nesoi",New,Argentina,
4504.10.50,"Blocks, plates, sheets and strip; tiles of any shape; solid cylinder; all the foregoing of cork; all the foregoing, nesoi",New,Argentina,
4504.90.00,"Agglomerated cork and articles of cork, nesoi",Existing,Argentina,
4601.22.40,"Woven or partly assembled materials of rattan for mats, matting and screens",New,Argentina,
4601.22.80,Rattan floor coverings,New,Argentina,
4601.22.90,"Mats, matting and screens of rattan, nesoi",New,Argentina,
4601.29.40,"Woven or partly assembled materials of willow for mats, matting and screens",New,Argentina,
4601.93.01,"Rattan webbing for mats, matting and screens",New,Argentina,
4601.93.05,"Plaits of rattan and similar products of such plaiting materials, whether or not assembled into strips",New,Argentina,
4601.93.20,Products of rattan other than plaits and similar products such as plaiting materials.,New,Argentina,
4602.12.05,Fishing baskets or creels made from rattan,New,Argentina,
4602.12.14,Baskets and bags of rattan wickerwork,New,Argentina,
4602.12.16,Baskets and bags of rattan other than wickerwork,New,Argentina,
4602.12.23,"Articles of a kind normally carried in the pocket or in the handbag, of rattan",New,Argentina,
4602.12.25,"Luggage, handbags and flat goods, whether or not lined, of rattan, nesoi",New,Argentina,
4602.12.35,"Articles of wickerwork, nesoi, of rattan",New,Argentina,
4602.12.45,"Basketwork and other articles, nesoi, of rattan",New,Argentina,
5004.00.00,"Silk yarns (other than yarn spun from silk waste), not put up for retail sale",New,Argentina,
5005.00.00,"Yarn spun from silk waste, not put up for retail sale",New,Argentina,
5006.00.10,"Spun yarn, containing 85 percent or more by weight of silk, put up for retail sale; silkworm gut",New,Argentina,
5006.00.90,"Spun silk yarn, containing less than 85 percent by weight of silk, put up for retail sale",New,Argentina,
5007.10.30,"Woven fabrics of noil silk, containing 85 percent or more by weight of silk or silk waste",New,Argentina,
5007.10.60,"Woven fabrics of noil silk, containing less than 85 percent by weight of silk or silk waste",New,Argentina,
5007.20.00,"Woven fabrics containing 85 percent or more by weight of silk or silk waste, other than noil silk",New,Argentina,
5007.90.30,"Woven silk fabrics, containing 85 percent or more by weight of silk or silk waste, nesoi",New,Argentina,
7101.10.30,"Natural pearls, graded and temporarily strung for convenience of transport",New,Argentina,
7101.10.60,"Natural pearls, not strung, mounted or set",New,Argentina,
7102.10.00,"Diamonds, unsorted, whether or not worked",New,Argentina,
7102.31.00,"Nonindustrial diamonds, unworked or simply sawn, cleaved or bruted",New,Argentina,
7102.39.00,"Nonindustrial diamonds, worked, but not mounted or set",New,Argentina,
7103.10.20,"Precious stones (other than diamonds) and semiprecious stones, unworked",New,Argentina,
7103.10.40,"Precious stones (other than diamonds) and semiprecious stones, simply sawn or roughly shaped",New,Argentina,
7103.91.00,"Rubies, sapphires and emeralds, worked, whether or not graded, but not strung, mounted or set",New,Argentina,
7103.99.10,"Precious or semiprecious stones, nesoi, cut but not set, suitable for use in the manufacture of jewelry",New,Argentina,
7103.99.50,"Precious or semiprecious stones, nesoi, worked, whether or not graded, but not strung, mounted or set",New,Argentina,
7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules",New,Argentina,
8112.92.07,"Waste and scrap of gallium, germanium, indium, niobium, or vanadium",New,Argentina,
0604.90.30,"Dried or bleached foliage, branches, and other parts of plants for bouquets or ornamental purposes, except mosses and lichens",New,Bangladesh,
1211.90.89,Psyllium seed husks,New,Bangladesh,Ex
1212.94.00,Chicory roots,New,Bangladesh,
1401.10.00,"Bamboos, of a kind used primarily for plaiting",New,Bangladesh,
1515.30.00,"Castor oil and its fractions, whether or not refined, but not chemically modified",New,Bangladesh,
1515.90.81,Argan oil,New,Bangladesh,Ex
2102.20.60,"Single-cell micro-organisms, dead, excluding yeasts (but not including vaccines of heading 3002)",New,Bangladesh,
4403.41.00,"Wood in the rough or roughly squared, of Dark Red Meranti, Light Red Meranti or Meranti Bakau, not treated with paint, stain, creosote, or other preservatives",New,Bangladesh,
4409.22.05,"Nonconiferous tropical wood continuously shaped along any ends, whether or not also continuously shaped along any edges or faces",New,Bangladesh,
4409.22.10,"Nonconiferous tropical wood siding, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4409.22.25,"Nonconiferous tropical wood flooring, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4409.22.40,"Nonconiferous tropical wood standard moldings, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4409.22.50,"Other nonconiferous tropical wood moldings, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4409.22.60,"Plain nonconiferous tropical wood dowel rods, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4409.22.65,"Nonconiferous tropical wood dowel rods, sanded, grooved or otherwise advanced in condition, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4409.22.90,"Other nonconiferous tropical wood, whether or not continuously shaped along its edges or faces but not its ends",New,Bangladesh,
4412.31.06,"Plywood sheets not over 6 mm thick, tropical wood outer ply, birch face ply, not surface covered beyond clear or transparent",New,Bangladesh,
4412.31.26,"Plywood sheets not over 6 mm thick, tropical wood outer ply, Spanish cedar or walnut face ply, not surface covered beyond clear or transparent",New,Bangladesh,
4412.31.42,"Plywood sheets not over 6 mm thick, tropical wood outer ply, with mahogany face ply, not surface covered beyond clear or transparent",New,Bangladesh,
4412.31.45,"Plywood sheets not over 3.6 mm thick, exceeding 1.2 m width and 2.2 m length, tropical wood outer ply, not mahogany face ply, not surface covered beyond clear or transparent",New,Bangladesh,
4412.31.48,"Plywood sheets not over 3.6 mm thick, tropical wood outer ply, not mahogany face ply, not surface covered beyond clear or transparent, nesoi",New,Bangladesh,
4412.31.52,"Plywood sheets not over 6 mm thick, tropical wood nesoi outer ply, with face ply nesoi, not surface covered beyond clear or transparent",New,Bangladesh,
4412.31.61,"Plywood sheets not over 6 mm thick, with certain specified tropical wood outer ply, surface covered beyond clear or transparent",New,Bangladesh,
4412.31.92,"Plywood sheets not over 6 mm thick, tropical wood nesoi at least one outer ply, surface covered beyond clear or transparent",New,Bangladesh,
4412.41.00,Laminated veneered lumber with outer ply of tropical wood,New,Bangladesh,
4412.51.10,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, not surface covered beyond clear or transparent, with face ply of birch",New,Bangladesh,
4412.51.31,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, not surface covered beyond clear or transparent, not with face ply of birch",New,Bangladesh,
4412.51.41,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, surface covered other than clear or transparent",New,Bangladesh,
4412.51.51,"Blockboard, laminboard and battenboard other than of plywood nesoi, outer ply of tropical wood",New,Bangladesh,
4412.91.06,"Not blockboard, laminboard or battenboard, outer ply of tropical wood, containing particle board",New,Bangladesh,
4412.91.10,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, no particle board, not surface covered beyond clear or transparent, with face ply of birch",New,Bangladesh,
4412.91.31,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, no particle board, not surface covered beyond clear or transparent, not with face ply of birch",New,Bangladesh,
4412.91.41,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, surface covered beyond clear or transparent",New,Bangladesh,
4412.91.51,"Not blockboard, laminboard or battenboard, veneered panels and similar laminated wood with outer ply of tropical wood, nesoi",New,Bangladesh,
4501.10.00,"Natural cork, raw or simply prepared",New,Bangladesh,
4501.90.20,Waste cork,New,Bangladesh,
4501.90.40,"Crushed, granulated or ground cork",New,Bangladesh,
4502.00.00,"Natural cork, debacked or roughly squared or in rectangular blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",New,Bangladesh,
4503.10.20,"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, not over 19mm maximum diameter",New,Bangladesh,
4503.10.30,"Corks and stoppers wholly of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, over 19mm maximum diameter",New,Bangladesh,
4503.10.40,"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, over 19mm maximum diameter, nesoi",New,Bangladesh,
4503.10.60,"Corks and stoppers of natural cork, of a thickness (or length) not greater than the maximum diameter",New,Bangladesh,
4503.90.20,"Disks, wafers and washers of natural cork",New,Bangladesh,
4503.90.40,"Natural cork wallcoverings, backed with paper or otherwise reinforced",New,Bangladesh,
4503.90.60,"Articles of natural cork, other than corks and stoppers",New,Bangladesh,
4504.10.10,Vulcanized sheets and slabs wholly of agglomerated ground or pulverized cork and rubber,New,Bangladesh,
4504.10.20,"Insulation of compressed agglomerated cork, coated or not coated",New,Bangladesh,
4504.10.30,Floor coverings of agglomerated cork,New,Bangladesh,
4504.10.40,"Agglomerated cork wallcoverings, backed with paper or otherwise reinforced",New,Bangladesh,
4504.10.45,"Agglomerated cork stoppers, not tapered, wholly of cork, of a thickness (or length) greater than the maximum diameter",New,Bangladesh,
4504.10.47,"Corks, stoppers, disks, wafers and washers of agglomerated cork, nesoi",New,Bangladesh,
4504.10.50,"Blocks, plates, sheets and strip; tiles of any shape; solid cylinder; all the foregoing of cork; all the foregoing, nesoi",New,Bangladesh,
4504.90.00,"Agglomerated cork and articles of cork, nesoi",Existing,Bangladesh,
4601.22.40,"Woven or partly assembled materials of rattan for mats, matting and screens",New,Bangladesh,
4601.22.80,Rattan floor coverings,New,Bangladesh,
4601.22.90,"Mats, matting and screens of rattan, nesoi",New,Bangladesh,
4601.29.40,"Woven or partly assembled materials of willow for mats, matting and screens",New,Bangladesh,
4601.93.01,"Rattan webbing for mats, matting and screens",New,Bangladesh,
4601.93.05,"Plaits of rattan and similar products of such plaiting materials, whether or not assembled into strips",New,Bangladesh,
4601.93.20,Products of rattan other than plaits and similar products such as plaiting materials.,New,Bangladesh,
4602.12.05,Fishing baskets or creels made from rattan,New,Bangladesh,
4602.12.14,Baskets and bags of rattan wickerwork,New,Bangladesh,
4602.12.16,Baskets and bags of rattan other than wickerwork,New,Bangladesh,
4602.12.23,"Articles of a kind normally carried in the pocket or in the handbag, of rattan",New,Bangladesh,
4602.12.25,"Luggage, handbags and flat goods, whether or not lined, of rattan, nesoi",New,Bangladesh,
4602.12.35,"Articles of wickerwork, nesoi, of rattan",New,Bangladesh,
4602.12.45,"Basketwork and other articles, nesoi, of rattan",New,Bangladesh,
5004.00.00,"Silk yarns (other than yarn spun from silk waste), not put up for retail sale",New,Bangladesh,
5005.00.00,"Yarn spun from silk waste, not put up for retail sale",New,Bangladesh,
5006.00.10,"Spun yarn, containing 85 percent or more by weight of silk, put up for retail sale; silkworm gut",New,Bangladesh,
5006.00.90,"Spun silk yarn, containing less than 85 percent by weight of silk, put up for retail sale",New,Bangladesh,
5007.10.30,"Woven fabrics of noil silk, containing 85 percent or more by weight of silk or silk waste",New,Bangladesh,
5007.10.60,"Woven fabrics of noil silk, containing less than 85 percent by weight of silk or silk waste",New,Bangladesh,
5007.20.00,"Woven fabrics containing 85 percent or more by weight of silk or silk waste, other than noil silk",New,Bangladesh,
5007.90.30,"Woven silk fabrics, containing 85 percent or more by weight of silk or silk waste, nesoi",New,Bangladesh,
7101.10.30,"Natural pearls, graded and temporarily strung for convenience of transport",New,Bangladesh,
7101.10.60,"Natural pearls, not strung, mounted or set",New,Bangladesh,
7102.10.00,"Diamonds, unsorted, whether or not worked",New,Bangladesh,
7102.31.00,"Nonindustrial diamonds, unworked or simply sawn, cleaved or bruted",New,Bangladesh,
7102.39.00,"Nonindustrial diamonds, worked, but not mounted or set",New,Bangladesh,
7103.10.20,"Precious stones (other than diamonds) and semiprecious stones, unworked",New,Bangladesh,
7103.10.40,"Precious stones (other than diamonds) and semiprecious stones, simply sawn or roughly shaped",New,Bangladesh,
7103.91.00,"Rubies, sapphires and emeralds, worked, whether or not graded, but not strung, mounted or set",New,Bangladesh,
7103.99.10,"Precious or semiprecious stones, nesoi, cut but not set, suitable for use in the manufacture of jewelry",New,Bangladesh,
7103.99.50,"Precious or semiprecious stones, nesoi, worked, whether or not graded, but not strung, mounted or set",New,Bangladesh,
7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules",New,Bangladesh,
8112.92.07,"Waste and scrap of gallium, germanium, indium, niobium, or vanadium",New,Bangladesh,
0106.19.91,"Live mammals, nesoi",New,Taiwan,
0106.20.00,Live reptiles (including snakes and turtles),New,Taiwan,
0106.90.01,"Live animals other than mammals, reptiles, insects, and birds",New,Taiwan,
0601.10.90,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, nesoi, dormant",New,Taiwan,
0602.90.20,Live orchid plants,New,Taiwan,
0603.11.00,"Sweetheart, spray and other roses, fresh cut",New,Taiwan,
0603.12.30,"Miniature (spray) carnations, fresh cut",New,Taiwan,
0603.12.70,"Other Carnations, fresh cut",New,Taiwan,
0603.13.00,"Orchids, fresh cut",New,Taiwan,
0603.14.00,"Chrysanthemums, fresh cut",New,Taiwan,
0603.15.00,Fresh cut lilies (Lillium spp.),New,Taiwan,
0603.19.01,"Fresh cut, anthuriums, alstroemeria, gypsophilia, lilies, snapdragons and other flowers nesoi",New,Taiwan,
0604.20.00,"Fresh foliage, branches, and other parts of plants, without flowers or buds, suitable for bouquets or ornamental purposes",New,Taiwan,
0604.90.10,Mosses and lichens suitable for bouquets or ornamental purposes,New,Taiwan,
0604.90.30,"Dried or bleached foliage, branches, and other parts of plants for bouquets or ornamental purposes, except mosses and lichens",New,Taiwan,
0604.90.60,"Other than fresh, bleached or dried: Foliage, branches, parts of plants and grasses, suitable for",New,Taiwan,
1211.90.89,Psyllium seed husks,New,Taiwan,Ex
1212.21.00,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human consumption",New,Taiwan,
1212.29.00,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, other than for human consumption",New,Taiwan,
1301.90.91,Boswellia,New,Taiwan,Ex
1302.19.91,"Aloe, Tasmanian pepper, coconut and centella",New,Taiwan,Ex
1302.31.00,Agar-agar,New,Taiwan,
1401.10.00,"Bamboos, of a kind used primarily for plaiting",New,Taiwan,
1511.90.00,"Palm oil, other than crude, and its fractions, whether or not refined, but not chemically modified",New,Taiwan,
1515.90.81,Argan oil,New,Taiwan,Ex
2102.20.60,"Single-cell micro-organisms, dead, excluding yeasts (but not including vaccines of heading 3002)",New,Taiwan,
3301.19.51,"Essential oils of citrus fruit, other, nesoi",New,Taiwan,
3301.29.10,Essential oils of eucalyptus,New,Taiwan,
3301.30.00,Resinoids,New,Taiwan,
3823.11.00,Stearic acid,New,Taiwan,
3823.12.00,Oleic acid,New,Taiwan,
3823.19.20,"Industrial monocarboxylic fatty acids or acid oils from refining derived from coconut, palm-kernel, or palm oil",New,Taiwan,
3823.70.40,"Industrial fatty alcohols, other than oleyl, derived from fatty substances of animal or vegetable origin",New,Taiwan,
4403.41.00,"Wood in the rough or roughly squared, of Dark Red Meranti, Light Red Meranti or Meranti Bakau, not treated with paint, stain, creosote, or other preservatives",New,Taiwan,
4409.22.05,"Nonconiferous tropical wood continuously shaped along any ends, whether or not also continuously shaped along any edges or faces",New,Taiwan,
4409.22.10,"Nonconiferous tropical wood siding, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4409.22.25,"Nonconiferous tropical wood flooring, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4409.22.40,"Nonconiferous tropical wood standard moldings, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4409.22.50,"Other nonconiferous tropical wood moldings, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4409.22.60,"Plain nonconiferous tropical wood dowel rods, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4409.22.65,"Nonconiferous tropical wood dowel rods, sanded, grooved or otherwise advanced in condition, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4409.22.90,"Other nonconiferous tropical wood, whether or not continuously shaped along its edges or faces but not its ends",New,Taiwan,
4412.31.06,"Plywood sheets not over 6 mm thick, tropical wood outer ply, birch face ply, not surface covered beyond clear or transparent",New,Taiwan,
4412.31.26,"Plywood sheets not over 6 mm thick, tropical wood outer ply, Spanish cedar or walnut face ply, not surface covered beyond clear or transparent",New,Taiwan,
4412.31.42,"Plywood sheets not over 6 mm thick, tropical wood outer ply, with mahogany face ply, not surface covered beyond clear or transparent",New,Taiwan,
4412.31.45,"Plywood sheets not over 3.6 mm thick, exceeding 1.2 m width and 2.2 m length, tropical wood outer ply, not mahogany face ply, not surface covered beyond clear or transparent",New,Taiwan,
4412.31.48,"Plywood sheets not over 3.6 mm thick, tropical wood outer ply, not mahogany face ply, not surface covered beyond clear or transparent, nesoi",New,Taiwan,
4412.31.52,"Plywood sheets not over 6 mm thick, tropical wood nesoi outer ply, with face ply nesoi, not surface covered beyond clear or transparent",New,Taiwan,
4412.31.61,"Plywood sheets not over 6 mm thick, with certain specified tropical wood outer ply, surface covered beyond clear or transparent",New,Taiwan,
4412.31.92,"Plywood sheets not over 6 mm thick, tropical wood nesoi at least one outer ply, surface covered beyond clear or transparent",New,Taiwan,
4412.41.00,Laminated veneered lumber with outer ply of tropical wood,New,Taiwan,
4412.51.10,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, not surface covered beyond clear or transparent, with face ply of birch",New,Taiwan,
4412.51.31,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, not surface covered beyond clear or transparent, not with face ply of birch",New,Taiwan,
4412.51.41,"Blockboard, laminboard and battenboard of plywood nesoi, outer ply of tropical wood, surface covered other than clear or transparent",New,Taiwan,
4412.51.51,"Blockboard, laminboard and battenboard other than of plywood nesoi, outer ply of tropical wood",New,Taiwan,
4412.91.06,"Not blockboard, laminboard or battenboard, outer ply of tropical wood, containing particle board",New,Taiwan,
4412.91.10,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, no particle board, not surface covered beyond clear or transparent, with face ply of birch",New,Taiwan,
4412.91.31,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, no particle board, not surface covered beyond clear or transparent, not with face ply of birch",New,Taiwan,
4412.91.41,"Not blockboard, laminboard or battenboard, plywood with outer ply of tropical wood, surface covered beyond clear or transparent",New,Taiwan,
4412.91.51,"Not blockboard, laminboard or battenboard, veneered panels and similar laminated wood with outer ply of tropical wood, nesoi",New,Taiwan,
4501.10.00,"Natural cork, raw or simply prepared",New,Taiwan,
4501.90.20,Waste cork,New,Taiwan,
4501.90.40,"Crushed, granulated or ground cork",New,Taiwan,
4502.00.00,"Natural cork, debacked or roughly squared or in rectangular blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",New,Taiwan,
4503.10.20,"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, not over 19mm maximum diameter",New,Taiwan,
4503.10.30,"Corks and stoppers wholly of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, over 19mm maximum diameter",New,Taiwan,
4503.10.40,"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, over 19mm maximum diameter, nesoi",New,Taiwan,
4503.10.60,"Corks and stoppers of natural cork, of a thickness (or length) not greater than the maximum diameter",New,Taiwan,
4503.90.20,"Disks, wafers and washers of natural cork",New,Taiwan,
4503.90.40,"Natural cork wallcoverings, backed with paper or otherwise reinforced",New,Taiwan,
4503.90.60,"Articles of natural cork, other than corks and stoppers",New,Taiwan,
4504.10.10,Vulcanized sheets and slabs wholly of agglomerated ground or pulverized cork and rubber,New,Taiwan,
4504.10.20,"Insulation of compressed agglomerated cork, coated or not coated",New,Taiwan,
4504.10.30,Floor coverings of agglomerated cork,New,Taiwan,
4504.10.40,"Agglomerated cork wallcoverings, backed with paper or otherwise reinforced",New,Taiwan,
4504.10.45,"Agglomerated cork stoppers, not tapered, wholly of cork, of a thickness (or length) greater than the maximum diameter",New,Taiwan,
4504.10.47,"Corks, stoppers, disks, wafers and washers of agglomerated cork, nesoi",New,Taiwan,
4504.10.50,"Blocks, plates, sheets and strip; tiles of any shape; solid cylinder; all the foregoing of cork; all the foregoing, nesoi",New,Taiwan,
4504.90.00,"Agglomerated cork and articles of cork, nesoi",Existing,Taiwan,
4601.22.40,"Woven or partly assembled materials of rattan for mats, matting and screens",New,Taiwan,
4601.22.80,Rattan floor coverings,New,Taiwan,
4601.22.90,"Mats, matting and screens of rattan, nesoi",New,Taiwan,
4601.29.40,"Woven or partly assembled materials of willow for mats, matting and screens",New,Taiwan,
4601.93.01,"Rattan webbing for mats, matting and screens",New,Taiwan,
4601.93.05,"Plaits of rattan and similar products of such plaiting materials, whether or not assembled into strips",New,Taiwan,
4601.93.20,Products of rattan other than plaits and similar products such as plaiting materials.,New,Taiwan,
4602.12.05,Fishing baskets or creels made from rattan,New,Taiwan,
4602.12.14,Baskets and bags of rattan wickerwork,New,Taiwan,
4602.12.16,Baskets and bags of rattan other than wickerwork,New,Taiwan,
4602.12.23,"Articles of a kind normally carried in the pocket or in the handbag, of rattan",New,Taiwan,
4602.12.25,"Luggage, handbags and flat goods, whether or not lined, of rattan, nesoi",New,Taiwan,
4602.12.35,"Articles of wickerwork, nesoi, of rattan",New,Taiwan,
4602.12.45,"Basketwork and other articles, nesoi, of rattan",New,Taiwan,
5001.00.00,Silkworm cocoons suitable for reeling,New,Taiwan,
5002.00.00,Raw silk (not thrown),New,Taiwan,
5003.00.10,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock), not carded or combed",New,Taiwan,
5003.00.90,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock), carded or combed",New,Taiwan,
5004.00.00,"Silk yarns (other than yarn spun from silk waste), not put up for retail sale",New,Taiwan,
5005.00.00,"Yarn spun from silk waste, not put up for retail sale",New,Taiwan,
5006.00.10,"Spun yarn, containing 85 percent or more by weight of silk, put up for retail sale; silkworm gut",New,Taiwan,
5006.00.90,"Spun silk yarn, containing less than 85 percent by weight of silk, put up for retail sale",New,Taiwan,
5007.10.30,"Woven fabrics of noil silk, containing 85 percent or more by weight of silk or silk waste",New,Taiwan,
5007.10.60,"Woven fabrics of noil silk, containing less than 85 percent by weight of silk or silk waste",New,Taiwan,
5007.20.00,"Woven fabrics containing 85 percent or more by weight of silk or silk waste, other than noil silk",New,Taiwan,
5007.90.30,"Woven silk fabrics, containing 85 percent or more by weight of silk or silk waste, nesoi",New,Taiwan,
5102.11.90,"Fine hair of Kashmir (cashmere) goats, processed beyond the degreased or carbonized condition, not carded or combed",New,Taiwan,
7101.10.30,"Natural pearls, graded and temporarily strung for convenience of transport",New,Taiwan,
7101.10.60,"Natural pearls, not strung, mounted or set",New,Taiwan,
7102.10.00,"Diamonds, unsorted, whether or not worked",New,Taiwan,
7102.31.00,"Nonindustrial diamonds, unworked or simply sawn, cleaved or bruted",New,Taiwan,
7102.39.00,"Nonindustrial diamonds, worked, but not mounted or set",New,Taiwan,
7103.10.20,"Precious stones (other than diamonds) and semiprecious stones, unworked",New,Taiwan,
7103.10.40,"Precious stones (other than diamonds) and semiprecious stones, simply sawn or roughly shaped",New,Taiwan,
7103.91.00,"Rubies, sapphires and emeralds, worked, whether or not graded, but not strung, mounted or set",New,Taiwan,
7103.99.10,"Precious or semiprecious stones, nesoi, cut but not set, suitable for use in the manufacture of jewelry",New,Taiwan,
7103.99.50,"Precious or semiprecious stones, nesoi, worked, whether or not graded, but not strung, mounted or set",New,Taiwan,
7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules",New,Taiwan,
8112.92.07,"Waste and scrap of gallium, germanium, indium, niobium, or vanadium",New,Taiwan,
0106.11.00,Live Primates,New,Indonesia,
0106.12.01,"Live whales, dolphins and porpoises; manatees and dugongs, seals, sea lions, and walruses",New,Indonesia,
