HS Code,Description,New or Existing,Applies To,Scope Limitation
0803.10.20,"Plantains, dried",Existing,All investigated economies (universal list),
0803.90.00,"Bananas, fresh or dried",Existing,All investigated economies (universal list),
0804.30.20,"Pineapples, fresh or dried, not reduced in size, in bulk",Existing,All investigated economies (universal list),
0804.30.40,"Pineapples, fresh or dried, not reduced in size, in crates or other packages",Existing,All investigated economies (universal list),
0804.30.60,"Pineapples, fresh or dried, reduced in size",Existing,All investigated economies (universal list),
0804.40.00,"Avocados, fresh or dried",Existing,All investigated economies (universal list),
0804.50.40,"Guavas, mangoes and mangosteens, fresh, if entered during the period September 1 through the following May 31, inclusive",Existing,All investigated economies (universal list),
0804.50.60,"Guavas, mangoes and mangosteens, fresh, if entered during the period June 1 through August 31, inclusive",Existing,All investigated economies (universal list),
0804.50.80,"Guavas, mangoes and mangosteens, dried",Existing,All investigated economies (universal list),
0805.10.00,"Oranges, fresh or dried",Existing,All investigated economies (universal list),
0805.50.30,"Tahitian limes, Persian limes and other limes of the Citrus latifolia variety, fresh or dried",Existing,All investigated economies (universal list),
0805.50.40,"Limes of the Citrus aurantifolia variety, nesoi, fresh or dried",Existing,All investigated economies (universal list),
0805.90.01,Etrogs,Existing,All investigated economies (universal list),Ex
0807.20.00,"Papayas (papaws), fresh",Existing,All investigated economies (universal list),
0808.40.20,"Quinces, fresh, if entered during the period from April 1 through June 30, inclusive",Existing,All investigated economies (universal list),
0808.40.40,"Quinces, fresh, if entered during the period from July 1 through the following March 31, inclusive",Existing,All investigated economies (universal list),
0810.50.00,"Kiwifruit, fresh",Existing,All investigated economies (universal list),
0810.60.00,"Durians, fresh",Existing,All investigated economies (universal list),
0810.90.27,"Other berries and tamarinds, fresh",Existing,All investigated economies (universal list),
0810.90.46,"Fruit, nesoi, fresh",Existing,All investigated economies (universal list),
0811.90.10,"Bananas and plantains, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.25,"Cashew apples, mameyes colorados, sapodillas, soursops and sweetsops, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.30,"Coconut meat, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.40,"Papayas, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.50,"Pineapples, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.52,"Mangoes, frozen, whether or not previously steamed or boiled",Existing,All investigated economies (universal list),
0811.90.80,"Tropical fruit, nesoi, frozen, whether or not previously steamed or boiled",Existing,All investigated economies (universal list),Ex
0812.90.40,"Pineapples, provisionally preserved, but unsuitable in that state for immediate consumption",Existing,All investigated economies (universal list),
0901.11.00,"Coffee, not roasted, not decaffeinated",Existing,All investigated economies (universal list),
0901.12.00,"Coffee, not roasted, decaffeinated",Existing,All investigated economies (universal list),
0901.21.00,"Coffee, roasted, not decaffeinated",Existing,All investigated economies (universal list),
0901.22.00,"Coffee, roasted, decaffeinated",Existing,All investigated economies (universal list),
0901.90.10,Coffee husks and skins,Existing,All investigated economies (universal list),
0901.90.20,Coffee substitutes containing coffee,Existing,All investigated economies (universal list),
0902.10.10,"Green tea in immediate packings of a content not exceeding 3 kg, flavored",Existing,All investigated economies (universal list),
0902.10.90,"Green tea in immediate packings of a content not exceeding 3 kg, not flavored",Existing,All investigated economies (universal list),
0902.20.10,"Green tea in immediate packings of a content exceeding 3 kg, flavored",Existing,All investigated economies (universal list),
0902.20.90,"Green tea in immediate packings of a content exceeding 3 kg, not flavored",Existing,All investigated economies (universal list),
0902.30.00,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",Existing,All investigated economies (universal list),
0902.40.00,"Black tea (fermented) and partly fermented tea, other than in immediate packings of a content not exceeding 3 kg",Existing,All investigated economies (universal list),
0903.00.00,Maté,Existing,All investigated economies (universal list),
0904.11.00,"Pepper of the genus Piper, neither crushed nor ground",Existing,All investigated economies (universal list),
0904.12.00,"Pepper of the genus Piper, crushed or ground",Existing,All investigated economies (universal list),
0904.21.20,"Paprika, dried, neither crushed nor ground",Existing,All investigated economies (universal list),
0904.21.40,"Anaheim and ancho pepper, dried, neither crushed nor ground",Existing,All investigated economies (universal list),
0904.21.60,"Fruits of the genus Capsicum, other than paprika or anaheim and ancho pepper, dried, neither crushed nor ground",Existing,All investigated economies (universal list),
0904.21.80,"Fruits of the genus Pimenta (including allspice), dried",Existing,All investigated economies (universal list),
0904.22.20,"Paprika, crushed or ground",Existing,All investigated economies (universal list),
0904.22.40,"Anaheim and ancho pepper, crushed or ground",Existing,All investigated economies (universal list),
